1001,1101,1000,1100,1011,1111,1010,1110,2001,2101,2000,2100,2011,2111,2010,2110,3001,3101,3000,3100,3011,3111,3010,3110
6,5,4,3,6,6,6,6,6,5,6,5,6,6,5,5,5,5,3,3,5,5,3,3
5,3,3,1,6,6,3,3,6,4,5,3,7,5,4,3,4,2,2,2,5,5,4,3
4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,5
4,5,2,4,3,4,6,7,1,2,5,1,2,7,6,4,1,5,7,5,3,6,7,3
5,5,4,4,6,6,5,5,5,5,4,4,6,6,5,5,4,4,3,3,4,4,3,3
5,5,4,4,6,6,6,6,5,5,4,4,6,6,5,5,3,3,2,2,2,2,2,2
6,4,2,2,6,6,4,4,5,4,3,2,6,6,3,3,3,4,2,2,4,4,4,4
5,4,4,3,6,5,3,2,6,6,2,3,6,5,4,4,3,2,2,2,5,4,2,2
6,5,4,5,3,2,6,6,3,2,2,2,1,2,4,4,1,1,1,1,1,1,1,1
6,5,3,6,6,6,6,6,5,4,2,4,5,4,3,3,2,2,2,2,2,2,2,2
5,4,3,2,6,6,3,3,4,4,2,2,3,3,2,2,2,2,2,2,2,2,2,2
5,5,2,1,6,5,6,5,6,2,1,1,5,5,1,1,4,2,2,1,4,4,4,4
5,4,4,5,7,6,7,6,5,4,3,2,5,5,2,2,1,2,2,1,1,1,1,1
6,4,2,1,6,6,2,2,5,3,2,1,6,6,3,2,4,3,2,2,5,5,2,2
5,4,3,2,6,6,5,4,5,4,3,2,6,6,4,5,3,3,2,2,4,3,3,2
5,4,3,2,6,6,4,4,4,3,2,2,4,4,2,2,3,2,3,3,4,3,2,2
6,5,4,3,6,6,5,5,4,4,2,2,6,6,6,6,2,2,2,2,4,4,5,5
6,3,3,4,6,6,5,4,4,3,2,2,6,7,2,3,4,4,1,2,5,5,1,1
2,2,1,1,4,4,2,2,1,2,1,1,2,3,2,3,2,1,1,1,3,3,2,2
6,5,4,4,7,7,5,5,7,6,5,4,5,5,5,5,4,4,4,4,4,4,4,4
4,5,4,4,6,6,6,6,6,4,3,4,6,6,5,5,4,4,3,3,4,4,3,3
5,5,2,2,6,6,3,3,4,4,2,2,5,5,3,3,4,4,2,2,4,4,3,3
